iter	Passed	Remaining
0	7	78328
1	12	60045
2	17	59362
3	22	56559
4	28	56421
5	35	58370
6	40	58169
7	45	57427
8	50	56227
9	55	55627
10	60	55011
11	65	54785
12	71	54780
13	76	54486
14	80	53682
15	86	53685
16	90	52921
17	94	52130
18	99	52077
19	104	52069
20	109	51863
21	114	51946
22	118	51509
23	122	51011
24	127	50972
25	131	50521
26	136	50253
27	140	50100
28	145	49965
29	150	50021
30	155	50047
31	159	49758
32	164	49570
33	169	49660
34	173	49370
35	177	49247
36	183	49299
37	187	49102
38	191	48787
39	195	48574
40	199	48469
41	204	48532
42	209	48455
43	214	48540
44	218	48431
45	223	48379
46	228	48445
47	233	48315
48	238	48445
49	243	48486
50	248	48387
51	252	48317
52	257	48339
53	262	48289
54	266	48130
55	271	48294
56	276	48185
57	281	48178
58	285	48103
59	289	47923
60	292	47718
61	296	47517
62	300	47320
63	303	47144
64	308	47170
65	312	47070
66	316	46893
67	320	46792
68	325	46788
69	329	46764
70	334	46741
71	338	46618
72	341	46498
73	345	46363
74	350	46425
75	356	46543
76	360	46484
77	364	46422
78	370	46512
79	374	46443
80	379	46487
81	385	46578
82	389	46564
83	394	46597
84	398	46531
85	403	46485
86	407	46473
87	412	46490
88	417	46492
89	421	46413
90	426	46442
91	430	46347
92	434	46242
93	438	46200
94	442	46151
95	446	46092
96	450	45986
97	454	45897
98	458	45844
99	462	45828
100	467	45793
101	471	45718
102	475	45713
103	480	45677
104	484	45655
105	488	45591
106	493	45618
107	498	45659
108	502	45601
109	507	45646
110	511	45598
111	515	45523
112	520	45533
113	524	45479
114	528	45397
115	532	45356
116	536	45300
117	540	45248
118	544	45197
119	548	45182
120	552	45095
121	555	44994
122	559	44939
123	563	44846
124	567	44858
125	572	44901
126	577	44856
127	581	44827
128	585	44808
129	590	44796
130	594	44766
131	598	44705
132	603	44746
133	606	44686
134	611	44664
135	616	44684
136	620	44684
137	625	44724
138	630	44722
139	635	44736
140	639	44731
141	644	44716
142	648	44718
143	653	44726
144	654	44467
