iter	Logloss
0	0.6564636719
5	0.5272510742
10	0.4551208008
15	0.4118938477
20	0.3871797363
25	0.370109082
30	0.3588214355
35	0.3508550781
40	0.3440896484
45	0.3388364258
50	0.3343527588
55	0.3302245117
60	0.3265103027
65	0.3231086914
70	0.3200047119
75	0.3172673828
80	0.3144480225
85	0.3118360596
90	0.3095361816
95	0.3072292969
100	0.3050227783
105	0.3027822998
110	0.3007985596
115	0.2988365479
120	0.2968602783
125	0.2952215576
130	0.2938161133
135	0.2921723389
140	0.2903893555
145	0.2889172119
150	0.2876025879
155	0.2862486328
160	0.2846743652
165	0.2833575195
170	0.2821100098
175	0.2807818848
180	0.2795758057
185	0.2783145752
190	0.2770087158
195	0.2758394775
200	0.2748175781
205	0.2736395752
210	0.2727021484
215	0.2716625732
220	0.2705003174
225	0.2695342773
230	0.2683695801
235	0.2674784424
240	0.2665716553
245	0.265719043
250	0.26475625
255	0.263913208
260	0.2630578857
265	0.2622175781
270	0.2613765869
275	0.260574707
280	0.2597953125
285	0.2589960937
290	0.2581245117
295	0.2571506104
300	0.2564891602
305	0.2556311279
310	0.2548199219
315	0.2541257813
320	0.2533630859
325	0.252735791
330	0.2520055176
335	0.2512789551
340	0.2505948486
345	0.2498916992
350	0.2491692627
355	0.2484006348
360	0.2477096191
365	0.2469807861
370	0.246315918
375	0.2457030029
380	0.2451143555
385	0.2443748047
390	0.2437373535
395	0.2432203125
400	0.2426802979
405	0.2421462158
410	0.2416459473
415	0.2409938721
420	0.2404122803
425	0.2398664551
430	0.2393564453
435	0.238861084
440	0.2382879639
445	0.2378094238
450	0.2372833008
455	0.2366709473
460	0.2361467773
465	0.2355177734
470	0.2350313232
475	0.2345450684
480	0.234099585
485	0.2335775635
490	0.2330615967
495	0.2326015625
500	0.2321416992
505	0.2316695068
510	0.2312570557
515	0.2308108887
520	0.2303844238
525	0.2299212891
530	0.2294348389
535	0.2289937988
540	0.2285426758
545	0.2279992188
550	0.2275757324
555	0.2271439941
560	0.2267433594
565	0.2262036377
570	0.2257
575	0.2253087402
580	0.2248793457
585	0.224453125
590	0.2240777588
595	0.2237210205
600	0.2233213379
605	0.2228956543
610	0.2225064941
615	0.2221285889
620	0.2216949951
625	0.2213265137
630	0.2209818848
635	0.2205450439
640	0.2201131836
645	0.2196495605
650	0.2192719238
655	0.2188994141
660	0.2184874756
665	0.2181212646
670	0.2177500732
675	0.2173908936
680	0.217060498
685	0.2167288574
690	0.2163895508
695	0.2160235596
700	0.2156509033
705	0.2152687744
710	0.2148699951
715	0.2145204102
720	0.2142281982
725	0.213858667
730	0.213451416
735	0.2131041504
740	0.2127565674
745	0.2123794434
750	0.2120345703
755	0.2116719482
760	0.2112580566
765	0.2109443604
770	0.2105861816
775	0.2102965088
780	0.2099598633
785	0.2096142334
790	0.2092720947
795	0.2089361084
800	0.2086
805	0.2082642822
810	0.2079315918
815	0.2075970215
820	0.2073089111
825	0.206964502
830	0.2066594482
835	0.2063807617
840	0.2060969971
845	0.2058479248
850	0.2054872314
855	0.2051842529
860	0.2049378418
865	0.2045759033
870	0.2042436279
875	0.2039832886
880	0.2037017456
885	0.2033409424
890	0.2030485596
895	0.2027795898
900	0.2024888428
905	0.2022362305
910	0.2019462402
915	0.2016464478
920	0.2013743286
925	0.2010471069
930	0.200799707
935	0.2005534302
940	0.2003013428
945	0.2000385986
950	0.1997744995
955	0.1995071655
960	0.1992736328
965	0.1989172852
970	0.1987054077
975	0.1984619263
980	0.19824646
985	0.197910144
990	0.1976310547
995	0.1974055542
999	0.1972227173
